"Latest: Time (s)","Latest: Position (m)","Latest: Velocity (m/s)","Latest: Acceleration (m/s²)"
5.75,0.101871,-0.249246666667,0.623593055556
5.8,0.090552,-0.211516666667,0.961352777778
5.85,0.0800905,-0.150634166667,1.1276125
5.9,0.0756315,-0.0931816666667,1.089025
5.95,0.0711725,-0.0460191666667,1.18001527778
6,0.070315,0.0234383333333,1.32817222222
6.05,0.073745,0.090895,1.31959722222
6.1,0.0794045,0.156065,1.20192916667
6.15,0.0893515,0.2152325,0.887988888889
6.2,0.101528,0.247245833333,0.469243055556
6.25,0.1143905,0.258965,0.186268055556
6.3,0.127596,0.262680833333,0.0157208333333
6.35,0.1404585,0.265253333333,-0.383493055556
6.4,0.1548645,0.231525,-1.08521388889
6.45,0.1644685,0.1534925,-1.63687222222
6.5,0.170471,0.0585958333333,-1.71023611111
6.55,0.170128,-0.0251533333333,-1.37819305556
6.6,0.167384,-0.0800333333333,-1.01137361111
6.65,0.1617245,-0.118906666667,-0.944679166667
6.7,0.156065,-0.173215,-0.970880555556
6.75,0.14406,-0.219234166667,-0.873697222222
6.8,0.134113,-0.261251666667,-0.626927777778
6.85,0.117992,-0.290978333333,0.00571666666667
6.9,0.103586,-0.262395,0.717441666667
6.95,0.091581,-0.211230833333,1.10093472222
7,0.08232,-0.149776666667,1.25242638889
7.05,0.0763175,-0.0808908333333,1.15143194444
7.1,0.074774,-0.0322991666667,0.970404166667
7.15,0.0732305,0.00971833333333,1.05139027778
7.2,0.0752885,0.0700291666667,1.26624166667
7.25,0.0800905,0.14063,1.25766666667
7.3,0.0893515,0.203799166667,0.867980555556
7.35,0.1013565,0.229238333333,0.379205555556
7.4,0.112504,0.236384166667,0.0976597222222
7.45,0.1250235,0.237813333333,-0.0948013888889
7.5,0.136514,0.228095,-0.336806944444
7.55,0.1480045,0.205514166667,-0.655511111111
7.6,0.157437,0.163496666667,-1.01470833333
7.65,0.16464,0.1029,-1.28863194444
7.7,0.16807,0.0297266666667,-1.34722777778
7.75,0.1672125,-0.032585,-1.363425
7.8,0.164983,-0.1029,-1.43393055556
7.85,0.157437,-0.184648333333,-1.1276125
7.9,0.145432,-0.222378333333,-0.558327777778
7.95,0.1346275,-0.231239166667,-0.3215625
8,0.122794,-0.251533333333,-0.22295
8.05,0.1092455,-0.260965833333,0.177216666667
8.1,0.09604,-0.237241666667,0.778895833333
8.15,0.085064,-0.182075833333,1.29673055556
8.2,0.077175,-0.0997558333333,1.39391388889
8.25,0.07546,-0.0328708333333,1.04615
8.3,0.0746025,0.00228666666667,0.796998611111
8.35,0.0756315,0.0374441666667,0.978502777778
8.4,0.077861,0.0971833333333,1.29387222222
8.45,0.0848925,0.174644166667,1.24670972222
8.5,0.0958685,0.22981,0.802238888889
8.55,0.108388,0.254963333333,0.300125
8.6,0.121765,0.25725,-0.0957541666667
8.65,0.1342845,0.244959166667,-0.458286111111
8.7,0.1466325,0.212374166667,-0.8360625
8.75,0.1558935,0.159495,-1.10855694444
8.8,0.1627535,0.0974691666667,-1.18859027778
8.85,0.1654975,0.039445,-1.20812222222
8.9,0.166698,-0.02058,-1.31483333333
8.95,0.1637825,-0.0931816666667,-1.34675138889
9,0.1572655,-0.160924166667,-1.10379305556
9.05,0.1473185,-0.207229166667,-0.672661111111
9.1,0.1359995,-0.226665833333,-0.297743055556
9.15,0.124509,-0.233811666667,-0.0695527777778
9.2,0.112504,-0.23324,0.122908333333
9.25,0.1010135,-0.222664166667,0.382540277778
9.3,0.0900375,-0.197510833333,0.764604166667
9.35,0.0807765,-0.147204166667,1.17525138889
9.4,0.0749455,-0.0763175,1.38581527778
9.45,0.073059,-0.00228666666667,1.27958055556
9.5,0.075117,0.0543083333333,1.03805138889
9.55,0.0787185,0.0980408333333,0.955159722222
9.6,0.0848925,0.145203333333,1.05520138889
9.65,0.0927815,0.207229166667,0.966116666667
9.7,0.105987,0.250675833333,0.485916666667
9.75,0.118678,0.255820833333,-0.0538319444444
9.8,0.131712,0.242386666667,-0.469243055556
9.85,0.143374,0.208086666667,-0.803668055556
9.9,0.152635,0.160066666667,-1.00803888889
9.95,0.159838,0.1029,-1.01121481481
10,0.161896,0.05831,-0.933722222222
