"Latest: Time (s)","Latest: GateState","Latest: Distance (m)","Latest: Velocity (m/s)","Latest: Acceleration (m/s²)","Run 1: Time (s)","Run 1: GateState","Run 1: Distance (m)","Run 1: Velocity (m/s)","Run 1: Acceleration (m/s²)"
23.049192,0,,,,,,,,
23.569233,1,2.1,0.0889594676297,-0.000337357887727,,,,,
23.61078,0,,,,,,,,
24.131887,1,2.15,0.0887539441595,-0.000393192220254,,,,,
24.173444,0,,,,,,,,
24.695947,1,2.2,0.088568202364,-0.000265396566235,,,,,
24.737221,0,,,,,,,,
25.260962,1,2.25,0.088638023727,0.000512545272063,,,,,
25.301933,0,,,,,,,,
25.824137,1,2.3,0.0887281405049,-0.000192514099277,,,,,
25.865746,0,,,,,,,,
26.388001,1,2.35,0.0886277804788,-0.000163458355323,,,,,
26.428694,0,,,,,,,,
26.952452,1,2.4,0.0886122036377,0.000108265464933,,,,,
26.993522,0,,,,,,,,
27.516514,1,2.45,,,,,,,
27.557695,0,,,,,,,,
