"Latest: Time (s)","Latest: GateState","Latest: Distance (m)","Latest: Velocity (m/s)","Latest: Acceleration (m/s²)","Run 1: Time (s)","Run 1: GateState","Run 1: Distance (m)","Run 1: Velocity (m/s)","Run 1: Acceleration (m/s²)"
0,1,0,,,0.096684,1,0,,
0.03445,0,,,,0.131607,0,,,
0.65365,1,0.05,0.0766141716443,0.000369112975137,0.755179,1,0.05,0.0758150207178,-0.000351407657008
0.688217,0,,,,0.790112,0,,,
1.305248,1,0.1,0.0767442063851,3.0012684462E-05,1.41569,1,0.1,0.0755819259393,-0.000354393695253
1.340088,0,,,,1.450826,0,,,
1.95668,1,0.15,0.0768653954028,0.000342056902857,2.078253,1,0.15,0.0753462853405,-0.000356906509612
1.99122,0,,,,2.113474,0,,,
2.606229,1,0.2,0.0768529483794,-0.000380382028142,2.742902,1,0.2,0.0751129827291,-0.000345126026078
2.640502,0,,,,2.778215,0,,,
3.257873,1,0.25,0.0767630266698,0.00010439787259,3.409587,1,0.25,0.074869681802,-0.000384756683408
3.292428,0,,,,3.445063,0,,,
3.90894,1,0.3,0.0768818066219,0.000260479941965,4.078564,1,0.3,0.0746272689829,-0.000339970232589
3.943329,0,,,,4.114085,0,,,
4.558574,1,0.35,0.0770121690778,0.000140861293051,4.749586,1,0.35,0.0743898406822,-0.000367691515348
4.593446,0,,,,4.785209,0,,,
5.207437,1,0.4,0.0771855713671,0.000393619141993,5.422841,1,0.4,0.0741400761341,-0.000374269697277
5.24221,0,,,,5.458621,0,,,
5.85416,1,0.45,0.0772425133993,-0.00021752510416,6.098392,1,0.45,0.0738899844673,-0.000366138256669
5.888271,0,,,,6.134298,0,,,
6.502063,1,0.5,0.0770624570323,-0.000338287623933,6.776212,1,0.5,0.0736462273448,-0.000353100250438
6.536572,0,,,,6.812255,0,,,
7.151814,1,0.55,0.076950364831,-6.74363045488E-06,7.456242,1,0.55,0.0733965172718,-0.000381308740291
7.186128,0,,,,7.492479,0,,,
7.801602,1,0.6,0.0770535249198,0.00032426284845,8.138683,1,0.6,0.0731441499498,-0.000358293136055
7.836197,0,,,,8.175074,0,,,
8.449618,1,0.65,0.0771699052042,3.49266913148E-05,8.823413,1,0.65,0.0729031549418,-0.000345619378301
8.483955,0,,,,8.859918,0,,,
9.097444,1,0.7,0.0770503589449,-0.000403995729417,9.510373,1,0.7,0.0726324077094,-0.000442628066625
9.131816,0,,,,9.54699,0,,,
9.747478,1,0.75,0.0768228580901,-0.000295970287157,10.200221,1,0.75,0.0723858046469,-0.000272320914941
9.781948,0,,,,10.236688,0,,,
10.399144,1,0.8,0.0766125476794,-0.000349484319005,10.891864,1,0.8,0.0721491793449,-0.000411920238294
10.433707,0,,,,10.928592,0,,,
11.052753,1,0.85,0.0764731374605,-7.71016639205E-05,11.586249,1,0.85,0.0718873475188,-0.000342219975473
11.087384,0,,,,11.623036,0,,,
11.706793,1,0.9,0.0766451611206,0.000603135729447,12.282937,1,0.9,0.0716411818927,-0.000364453961957
11.741211,0,,,,12.319991,0,,,
12.357484,1,0.95,0.0768112516252,-9.26307291558E-05,12.982103,1,0.95,0.0713843257444,-0.000370296149811
12.391851,0,,,,13.019235,0,,,
13.008686,1,1,0.0769164517458,0.000415725930162,13.683814,1,1,0.071118259395,-0.00038803982998
13.043059,0,,,,13.72112,0,,,
13.657604,1,1.05,0.0770526439517,4.0257361552E-06,14.388222,1,1.05,0.0708524604784,-0.000366633361111
13.692068,0,,,,14.425583,0,,,
14.3065,1,1.1,0.0770831949171,9.01371666196E-05,15.095207,1,1.1,0.0705516534346,-0.000484323996767
14.340898,0,,,,15.132736,0,,,
14.954904,1,1.15,0.0771954576255,0.000256136787112,15.80564,1,1.15,0.0694637607036,-0.00257829480323
14.989329,0,,,,15.843481,0,,,
15.601916,1,1.2,0.0773409376582,0.000193561310488,16.535321,1,1.2,0.0665385017902,-0.00543961689625
15.636079,0,,,,16.574978,0,,,
16.247882,1,1.25,0.0772908926438,-0.000348507590625,17.311384,1,1.25,,
16.282198,0,,,,17.354315,0,,,
16.895735,1,1.3,0.0770837602563,-0.000290934960437,,,,,
16.930032,0,,,,,,,,
17.545176,1,1.35,0.0768646517231,-0.000383825435665,,,,,
17.579634,0,,,,,,,,
18.19673,1,1.4,0.0767944359367,0.000168292152238,,,,,
18.231007,0,,,,,,,,
18.847355,1,1.45,0.0769294576227,0.000246760100617,,,,,
18.882084,0,,,,,,,,
19.496625,1,1.5,0.0769504556543,-0.000182078129722,,,,,
19.530804,0,,,,,,,,
20.146894,1,1.55,0.0767879729008,-0.00031766198846,,,,,
20.1815,0,,,,,,,,
20.798917,1,1.6,0.0766539867209,-9.33240655648E-05,,,,,
20.833412,0,,,,,,,,
21.451458,1,1.65,0.076624888271,4.13901870927E-06,,,,,
21.486157,0,,,,,,,,
22.103976,1,1.7,0.0766358129265,2.93455914966E-05,,,,,
22.138642,0,,,,,,,,
22.756331,1,1.75,0.0766703170437,7.6437662182E-05,,,,,
22.791144,0,,,,,,,,
23.408262,1,1.8,0.0768027974559,0.000329986981587,,,,,
23.443313,0,,,,,,,,
24.058372,1,1.85,0.0768200542843,-0.000276898032296,,,,,
24.092637,0,,,,,,,,
24.710009,1,1.9,0.0766075524151,-0.000375311308928,,,,,
24.744668,0,,,,,,,,
25.363733,1,1.95,0.0763612280317,-0.000378292301903,,,,,
25.398269,0,,,,,,,,
26.019581,1,2,0.0761440032594,-0.000284131833725,,,,,
26.054152,0,,,,,,,,
26.677038,1,2.05,0.0760289307197,-6.5921598561E-05,,,,,
26.711821,0,,,,,,,,
27.33487,1,2.1,0.0760642805353,0.000173395286738,,,,,
27.369612,0,,,,,,,,
27.991717,1,2.15,0.0762045927104,0.00025383411385,,,,,
28.026408,0,,,,,,,,
28.64713,1,2.2,0.0763607321889,0.00022262722755,,,,,
28.681899,0,,,,,,,,
29.301293,1,2.25,0.0764313296366,-6.78668716471E-06,,,,,
29.336151,0,,,,,,,,
29.955494,1,2.3,0.0763091115175,-0.000366854194141,,,,,
29.989993,0,,,,,,,,
30.611759,1,2.35,0.0760816848316,-0.000326239863734,,,,,
30.646535,0,,,,,,,,
31.269876,1,2.4,0.0758639918609,-0.000335323264738,,,,,
31.304681,0,,,,,,,,
31.929913,1,2.45,,,,,,,
31.964894,0,,,,,,,,
