"Latest: Time (s)","Latest: GateState","Latest: Distance (m)","Latest: Velocity (m/s)","Latest: Acceleration (m/s²)","Run 1: Time (s)","Run 1: GateState","Run 1: Distance (m)","Run 1: Velocity (m/s)","Run 1: Acceleration (m/s²)"
19.476395,1,1.65,0.0844943679195,0.00020027203007,,,,,
19.528395,0,,,,,,,,
20.067736,1,1.7,0.0845523671207,-4.11042022628E-06,,,,,
20.119568,0,,,,,,,,
20.659094,1,1.75,0.0844490084046,-0.000345453519456,,,,,
20.711086,0,,,,,,,,
21.251886,1,1.8,0.0842727516473,-0.00024921293127,,,,,
21.304032,0,,,,,,,,
21.845719,1,1.85,0.0842170588729,6.16424378527E-05,,,,,
21.897523,0,,,,,,,,
22.439294,1,1.9,0.0843036368523,0.000230074630624,,,,,
22.490963,0,,,,,,,,
23.031909,1,1.95,0.0844135866458,0.00014099189125,,,,,
23.083779,0,,,,,,,,
23.623938,1,2,0.0844393541024,-5.39439370482E-05,,,,,
23.676068,0,,,,,,,,
24.216191,1,2.05,0.0843776258273,-0.000154508447539,,,,,
24.268343,0,,,,,,,,
24.809087,1,2.1,0.0843585168888,9.00487832779E-05,,,,,
24.861414,0,,,,,,,,
25.401608,1,2.15,0.0842633886654,-0.000411145329588,,,,,
25.453849,0,,,,,,,,
25.995847,1,2.2,0.0841330900251,-2.73941816394E-05,,,,,
26.047506,0,,,,,,,,
26.590201,1,2.25,0.0840794471597,-0.00015311395138,,,,,
26.641946,0,,,,,,,,
27.185199,1,2.3,0.084024083594,-3.29826932413E-05,,,,,
27.236811,0,,,,,,,,
27.780336,1,2.35,0.0840107402295,-1.18586274611E-05,,,,,
27.832349,0,,,,,,,,
28.375523,1,2.4,0.083965494747,-0.000140179244633,,,,,
28.428229,0,,,,,,,,
28.971302,1,2.45,,,,,,,
29.024272,0,,,,,,,,
