"Latest: Time (s)","Latest: GateState","Latest: Distance (m)","Latest: Velocity (m/s)","Latest: Acceleration (m/s²)","Run 1: Time (s)","Run 1: GateState","Run 1: Distance (m)","Run 1: Velocity (m/s)","Run 1: Acceleration (m/s²)"
0,1,0,,,0.096684,1,0,,
0.051393,0,,,,0.131607,0,,,
0.588953,1,0.05,0.0850492418823,0.000518968412616,0.755179,1,0.05,0.0758150207178,-0.000351407657008
0.640058,0,,,,0.790112,0,,,
1.175797,1,0.1,0.0850912445429,-0.000375820793876,1.41569,1,0.1,0.0755819259393,-0.000354393695253
1.226846,0,,,,1.450826,0,,,
1.764166,1,0.15,0.0849386437879,-0.000142903866877,2.078253,1,0.15,0.0753462853405,-0.000356906509612
1.815078,0,,,,2.113474,0,,,
2.353118,1,0.2,0.08485934865,-0.000126371516828,2.742902,1,0.2,0.0751129827291,-0.000345126026078
2.404129,0,,,,2.778215,0,,,
2.942587,1,0.25,0.0848550210617,0.00011168851114,3.409587,1,0.25,0.074869681802,-0.000384756683408
2.993476,0,,,,3.445063,0,,,
3.531599,1,0.3,0.0849088267184,7.10094872889E-05,4.078564,1,0.3,0.0746272689829,-0.000339970232589
3.583734,0,,,,4.114085,0,,,
4.120321,1,0.35,0.0849764746643,0.000158803381372,4.749586,1,0.35,0.0743898406822,-0.000367691515348
4.172942,0,,,,4.785209,0,,,
4.708396,1,0.4,0.0849924069661,-0.000104618789668,5.422841,1,0.4,0.0741400761341,-0.000374269697277
4.760324,0,,,,5.458621,0,,,
5.296897,1,0.45,0.0849306173728,-0.000105370975442,6.098392,1,0.45,0.0738899844673,-0.000366138256669
5.3486,0,,,,6.134298,0,,,
5.885828,1,0.5,0.0848629483554,-0.000124431895556,6.776212,1,0.5,0.0736462273448,-0.000353100250438
5.937623,0,,,,6.812255,0,,,
6.475268,1,0.55,0.0847768573236,-0.000167679368832,7.456242,1,0.55,0.0733965172718,-0.000381308740291
6.527375,0,,,,7.492479,0,,,
7.065396,1,0.6,0.0848563222717,0.000436993646565,8.138683,1,0.6,0.0731441499498,-0.000358293136055
7.116786,0,,,,8.175074,0,,,
7.653736,1,0.65,0.0848498109746,-0.000459128116513,8.823413,1,0.65,0.0729031549418,-0.000345619378301
7.706413,0,,,,8.859918,0,,,
8.243955,1,0.7,0.084642877579,-0.000242080741911,9.510373,1,0.7,0.0726324077094,-0.000442628066625
8.295657,0,,,,9.54699,0,,,
8.835172,1,0.75,0.0845319622721,-0.000133129398775,10.200221,1,0.75,0.0723858046469,-0.000272320914941
8.887103,0,,,,10.236688,0,,,
9.42694,1,0.8,0.0844900016096,-8.68517243348E-06,10.891864,1,0.8,0.0721491793449,-0.000411920238294
9.478643,0,,,,10.928592,0,,,
10.018744,1,0.85,0.0844302289744,-0.000193316284605,11.586249,1,0.85,0.0718873475188,-0.000342219975473
10.070883,0,,,,11.623036,0,,,
10.611351,1,0.9,0.0843640530044,-3.00221843793E-05,12.282937,1,0.9,0.0716411818927,-0.000364453961957
10.663367,0,,,,12.319991,0,,,
11.204083,1,0.95,0.084350957759,-1.41638739119E-05,12.982103,1,0.95,0.0713843257444,-0.000370296149811
11.256543,0,,,,13.019235,0,,,
11.796874,1,1,0.0843981480165,0.000173377686063,13.683814,1,1,0.071118259395,-0.00038803982998
11.849104,0,,,,13.72112,0,,,
12.388944,1,1.05,0.0844792445699,0.000100564764704,14.388222,1,1.05,0.0708524604784,-0.000366633361111
12.440661,0,,,,14.425583,0,,,
12.980597,1,1.1,0.0845561372919,0.000159360299537,15.095207,1,1.1,0.0705516534346,-0.000484323996767
13.032326,0,,,,15.132736,0,,,
13.571591,1,1.15,0.0846433679714,0.000135839582301,15.80564,1,1.15,0.0694637607036,-0.00257829480323
13.62361,0,,,,15.843481,0,,,
14.162025,1,1.2,0.0847723141139,0.000300944690029,16.535321,1,1.2,0.0665385017902,-0.00543961689625
14.213257,0,,,,16.574978,0,,,
14.751224,1,1.25,0.0848603961701,-1.95553297267E-06,17.311384,1,1.25,,
14.80275,0,,,,17.354315,0,,,
15.340431,1,1.3,0.0848676715379,2.6650989077E-05,,,,,
15.391994,0,,,,,,,,
15.929529,1,1.35,0.0847956410217,-0.000271196094383,,,,,
15.981295,0,,,,,,,,
16.519739,1,1.4,0.0846697532116,-0.000155390408883,,,,,
16.571475,0,,,,,,,,
17.110589,1,1.45,0.0845447948696,-0.000267587815671,,,,,
17.162456,0,,,,,,,,
17.702546,1,1.5,0.0845799941125,0.000386512814696,,,,,
17.754261,0,,,,,,,,
18.292906,1,1.55,0.0846255337332,-0.000232235354527,,,,,
18.344958,0,,,,,,,,
18.884224,1,1.6,0.0844960146619,-0.000205833742712,,,,,
18.936529,0,,,,,,,,
