"Latest: Time (s)","Latest: Position (m)","Latest: Velocity (m/s)","Latest: Acceleration (m/s²)"
0.05,0.168756,-0.175501666667,1.05154907407
0.1,0.159152,-0.128434444444,1.38089259259
0.15,0.1545215,-0.0483058333333,1.81996435185
0.2,0.153664,0.0643125,1.85092962963
0.25,0.1617245,0.145489166667,1.57303611111
0.3,0.1689275,0.206943333333,1.81313611111
0.35,0.180761,0.3249925,2.05752361111
0.4,0.201684,0.434180833333,1.38295694444
0.45,0.225694,0.471053333333,0.266301388889
0.5,0.249704,0.452474166667,-0.492109722222
0.55,0.271313,0.4116,-0.709819444444
0.6,0.2906925,0.376728333333,-0.695051388889
0.65,0.3087,0.348145,-0.942773611111
0.7,0.326193,0.289263333333,-1.500625
0.75,0.338198,0.195795833333,-1.92794583333
0.8,0.3462585,0.08575,-1.8736375
0.85,0.3459155,0.00543083333333,-1.68260555556
0.9,0.346773,-0.0734591666667,-1.78169444444
0.95,0.3393985,-0.176930833333,-1.740725
1,0.328251,-0.25382,-1.45155694444
1.05,0.313845,-0.317560833333,-1.26290694444
1.1,0.296695,-0.381873333333,-1.01042083333
1.15,0.275086,-0.422461666667,-0.569284722222
1.2,0.254163,-0.440469166667,0.00666944444444
1.25,0.230496,-0.424748333333,0.665991666667
1.3,0.2107735,-0.368725,1.0933125
1.35,0.193795,-0.309843333333,1.28053333333
1.4,0.179732,-0.244101666667,1.52777916667
1.45,0.168756,-0.154921666667,1.66974305556
1.5,0.1644685,-0.0717441666667,1.61352916667
1.55,0.161896,0.0025725,1.65973888889
1.6,0.1641255,0.0940391666667,1.72452777778
1.65,0.1716715,0.177788333333,1.68165277778
1.7,0.18179,0.262109166667,1.56731944444
1.75,0.197911,0.339284166667,1.25814305556
1.8,0.216433,0.3884475,0.873697222222
1.85,0.23667,0.427320833333,0.418745833333
1.9,0.2598225,0.434180833333,-0.166736111111
1.95,0.2807455,0.407598333333,-0.651223611111
2,0.3006395,0.367295833333,-1.04281527778
2.05,0.317961,0.304126666667,-1.42440277778
2.1,0.331338,0.222378333333,-1.66450277778
2.15,0.3404275,0.132626666667,-1.67736527778
2.2,0.3442005,0.0545941666667,-1.68022361111
2.25,0.346087,-0.0311558333333,-1.82266388889
2.3,0.3414565,-0.130625833333,-1.84838888889
2.35,0.33271,-0.220091666667,-1.672125
2.4,0.319333,-0.298695833333,-1.41154027778
2.45,0.302526,-0.362150833333,-1.06901666667
2.5,0.282975,-0.409313333333,-0.542130555556
2.55,0.2608515,-0.419031666667,0.0766986111111
2.6,0.240443,-0.396450833333,0.473054166667
2.65,0.221235,-0.367581666667,0.669326388889
2.7,0.2035705,-0.331280833333,0.912761111111
2.75,0.1877925,-0.278115833333,1.24575694444
2.8,0.1754445,-0.2066575,1.58732777778
2.85,0.1668695,-0.118620833333,1.85410555556
2.9,0.163268,-0.0168641666667,1.87030277778
2.95,0.165326,0.0751741666667,1.60114305556
3,0.1715,0.140344166667,1.43535972222
3.05,0.179046,0.213231666667,1.4706125
3.1,0.1925945,0.292121666667,1.35770833333
3.15,0.208887,0.350431666667,1.12523055556
3.2,0.227409,0.406169166667,0.740308333333
3.25,0.250047,0.43218,0.0462097222222
3.3,0.271656,0.409313333333,-0.60025
3.35,0.291207,0.365580833333,-0.949443055556
3.4,0.308357,0.312415833333,-1.16334166667
3.45,0.3225915,0.250104166667,-1.39963055556
3.5,0.3335675,0.173215,-1.6078125
3.55,0.3404275,0.0826058333333,-1.56065
3.6,0.340942,0.0177216666667,-1.55683888889
3.65,0.342657,-0.0643125,-1.83362083333
3.7,0.3352825,-0.173215,-1.81885277778
3.75,0.324478,-0.25382,-1.43964722222
3.8,0.309729,-0.31556,-1.05615416667
3.85,0.292579,-0.358720833333,-0.743643055556
3.9,0.2735425,-0.387304166667,-0.514976388889
3.95,0.2539915,-0.413029166667,-0.1243375
4,0.2316965,-0.4073125,0.552134722222
4.05,0.2121455,-0.35329,1.04805555556
4.1,0.196539,-0.29498,1.22289027778
4.15,0.1826475,-0.233525833333,1.42440277778
4.2,0.1727005,-0.152635,1.6163875
4.25,0.167384,-0.0680283333333,1.65449861111
4.3,0.166012,0.0128625,1.66450277778
4.35,0.1685845,0.0971833333333,1.70356666667
4.4,0.175616,0.18522,1.64068333333
4.45,0.187278,0.264681666667,1.39820138889
4.5,0.20237,0.327279166667,1.020425
4.55,0.2203775,0.3678675,0.581670833333
4.6,0.2395855,0.384731666667,0.177693055556
4.65,0.2591365,0.383874166667,-0.143393055556
4.7,0.278173,0.369868333333,-0.437325
4.75,0.296352,0.341285,-0.783183333333
4.8,0.3126445,0.292693333333,-1.17620416667
