"Latest: Time (s)","Latest: Position (m)","Latest: Velocity (m/s)","Latest: Acceleration (m/s²)"
5.75,0.062769,-0.204656666667,1.40963472222
5.8,0.0540225,-0.118049166667,1.87220833333
5.85,0.0505925,-0.01029,2.00559722222
5.9,0.053165,0.0900375,1.74167777778
5.95,0.060025,0.166355,1.35389722222
6,0.070315,0.2203775,1.18716111111
6.05,0.0818055,0.280688333333,1.20145277778
6.1,0.0982695,0.345000833333,0.988983333333
6.15,0.11662,0.388733333333,0.3087
6.2,0.1380575,0.3815875,-0.635502777778
6.25,0.1558935,0.319561666667,-1.33293611111
6.3,0.170128,0.240385833333,-1.63496666667
6.35,0.180075,0.153778333333,-1.75215833333
6.4,0.185563,0.0637408333333,-1.78026527778
6.45,0.1864205,-0.0251533333333,-1.76025694444
6.5,0.1829905,-0.112046666667,-1.72690972222
6.55,0.175273,-0.199225833333,-1.59495
6.6,0.162925,-0.276115,-1.23337083333
6.65,0.147147,-0.32585,-0.696480555556
6.7,0.1298255,-0.3455725,-0.147680555556
6.75,0.112161,-0.339284166667,0.329661111111
6.8,0.0955255,-0.310986666667,0.709819444444
6.85,0.0807765,-0.266396666667,1.00041666667
6.9,0.0687715,-0.211230833333,1.30101805556
6.95,0.059339,-0.1380575,1.65592777778
7,0.054537,-0.0437325,1.90412638889
7.05,0.05488,0.0571666666667,1.88935833333
7.1,0.060368,0.150348333333,1.58161111111
7.15,0.070315,0.219234166667,1.10712777778
7.2,0.083006,0.256964166667,0.8189125
7.25,0.0958685,0.29498,0.778895833333
7.3,0.1123325,0.3387125,0.528315277778
7.35,0.129997,0.359578333333,-0.242958333333
7.4,0.1497195,0.31556,-1.04900833333
7.45,0.1620675,0.241815,-1.32055
7.5,0.1733865,0.180360833333,-1.38962638889
7.55,0.180418,0.108045,-1.63020277778
7.6,0.184534,0.0168641666667,-1.85172361111
7.65,0.1823045,-0.08232,-1.83123888889
7.7,0.175959,-0.169213333333,-1.62829722222
7.75,0.165326,-0.246388333333,-1.32531388889
7.8,0.15092,-0.303840833333,-0.905138888889
7.85,0.1346275,-0.338998333333,-0.363008333333
7.9,0.1164485,-0.341856666667,0.238670833333
7.95,0.099813,-0.31213,0.697433333333
8,0.085064,-0.268111666667,0.965163888889
8.05,0.0728875,-0.215518333333,1.20335833333
8.1,0.0632835,-0.149205,1.48823888889
8.15,0.057624,-0.0657416666667,1.72071666667
8.2,0.056595,0.025725,1.79550972222
8.25,0.0601965,0.117191666667,1.65211666667
8.3,0.0684285,0.1963675,1.26528888889
8.35,0.080605,0.242958333333,0.917525
8.4,0.0927815,0.281831666667,0.807955555556
8.45,0.1085595,0.32585,0.593104166667
8.5,0.1257095,0.349574166667,-0.00476388888888
8.55,0.144403,0.327850833333,-0.728875
8.6,0.159152,0.27097,-1.22289027778
8.65,0.1715,0.202941666667,-1.54874027778
8.7,0.1799035,0.115476666667,-1.78026527778
8.75,0.183162,0.02058,-1.81408888889
8.8,0.18179,-0.0677425,-1.74310694444
8.85,0.176302,-0.152635,-1.65640416667
8.9,0.166698,-0.2375275,-1.35723194444
8.95,0.151949,-0.2941225,-0.789376388889
9,0.1366855,-0.316131666667,-0.214375
9.05,0.1198785,-0.311844166667,0.174834722222
9.1,0.105301,-0.295265833333,0.410647222222
9.15,0.0903805,-0.272685,0.713630555556
9.2,0.077518,-0.22638,1.11284444444
9.25,0.0673995,-0.159209166667,1.41963888889
9.3,0.061397,-0.0814625,1.58828055556
9.35,0.059339,-0.000571666666667,1.69451527778
9.4,0.0608825,0.0920383333333,1.59780833333
9.45,0.0691145,0.163496666667,1.33007777778
9.5,0.077518,0.220949166667,1.16334166667
9.55,0.090895,0.281831666667,0.906091666667
9.6,0.10633,0.316703333333,0.420651388889
9.65,0.1229655,0.324135,-0.110522222222
9.7,0.139258,0.304126666667,-0.560233333333
9.75,0.153664,0.265825,-0.906091666667
9.8,0.166012,0.213803333333,-1.24099305556
9.85,0.1754445,0.141773333333,-1.53174907407
9.9,0.180418,0.0557375,-1.5565212963
9.95,0.181104,-0.0209611111111,-1.30149444444
10,0.1768165,-0.0691716666667,-1.0591712963
