"Latest: Time (s)","Latest: Position (m)","Latest: Velocity (m/s)","Latest: Acceleration (m/s²)"
5.75,0.211631,-0.132055,0.749359722222
5.8,0.204771,-0.110045833333,0.772226388889
5.85,0.199969,-0.06174,1.07949722222
5.9,0.1980825,0.00628833333333,1.08854861111
5.95,0.201341,0.0503066666667,0.954206944444
6,0.203056,0.0948966666667,1.02137777778
6.05,0.210259,0.156350833333,0.949919444444
6.1,0.2193485,0.194938333333,0.680283333333
6.15,0.2299815,0.220091666667,0.521645833333
6.2,0.241129,0.248103333333,0.317275
6.25,0.255192,0.256678333333,-0.0686
6.3,0.2673685,0.238956666667,-0.385398611111
6.35,0.2790305,0.215518333333,-0.582623611111
6.4,0.289149,0.181504166667,-0.774131944444
6.45,0.297381,0.136914166667,-0.911808333333
6.5,0.302869,0.0888941666667,-0.978026388889
6.55,0.306299,0.0388733333333,-1.01566111111
6.6,0.3068135,-0.0131483333333,-1.02661805556
6.65,0.304927,-0.0643125,-0.995176388889
6.7,0.300468,-0.114333333333,-0.911331944444
6.75,0.2930935,-0.1534925,-0.880366666667
6.8,0.2855475,-0.2032275,-0.756029166667
6.85,0.2725135,-0.236955833333,-0.352051388889
6.9,0.2608515,-0.2340975,-0.0790805555556
6.95,0.249704,-0.241243333333,0.0581194444444
7,0.236327,-0.233525833333,0.344905555556
7.05,0.2258655,-0.204370833333,0.576906944444
7.1,0.21609,-0.174644166667,0.758411111111
7.15,0.2080295,-0.130625833333,1.00375138889
7.2,0.2028845,-0.0734591666667,1.174775
7.25,0.200312,-0.00686,1.05281944444
7.3,0.2028845,0.0351575,0.774608333333
7.35,0.2039135,0.0665991666667,0.667897222222
7.4,0.209573,0.0974691666667,0.834633333333
7.45,0.2135175,0.144631666667,1.16238888889
7.5,0.22295,0.2238075,1.03805138889
7.55,0.2371845,0.258679166667,0.448281944444
7.6,0.2491895,0.26411,-0.0557375
7.65,0.263767,0.252390833333,-0.448758333333
7.7,0.275086,0.215518333333,-0.642172222222
7.75,0.285033,0.183790833333,-0.6517
7.8,0.2934365,0.153206666667,-0.743643055556
7.85,0.3006395,0.1106175,-0.895611111111
7.9,0.304584,0.0620258333333,-0.999940277778
7.95,0.3068135,0.0111475,-1.09950555556
8,0.305956,-0.0488775,-1.12999444444
8.05,0.30184,-0.1054725,-0.9947
8.1,0.2951515,-0.149490833333,-0.781754166667
8.15,0.286748,-0.183219166667,-0.589769444444
8.2,0.2766295,-0.206943333333,-0.487822222222
8.25,0.2659965,-0.229524166667,-0.449234722222
8.3,0.2539915,-0.256964166667,-0.165306944444
8.35,0.2395855,-0.252676666667,0.404454166667
8.4,0.228095,-0.2135175,0.842731944444
8.45,0.2179765,-0.160638333333,0.900851388889
8.5,0.212317,-0.119478333333,0.767938888889
8.55,0.2063145,-0.0883225,0.804144444444
8.6,0.203056,-0.0420175,0.971356944444
8.65,0.202027,0.012005,1.00089305556
8.7,0.2042565,0.0620258333333,0.865122222222
8.75,0.2087155,0.09604,0.825105555556
8.8,0.2135175,0.140915833333,0.903709722222
8.85,0.222607,0.191508333333,0.795093055556
8.9,0.23324,0.222378333333,0.552134722222
8.95,0.2447305,0.247245833333,0.242481944444
9,0.2584505,0.249246666667,-0.1414875
9.05,0.2701125,0.229524166667,-0.391591666667
9.1,0.28126,0.2083725,-0.556898611111
9.15,0.291207,0.1757875,-0.77175
9.2,0.299096,0.130054166667,-0.945631944444
9.25,0.304241,0.0797475,-1.04376805556
9.3,0.3071565,0.0251533333333,-1.08664305556
9.35,0.3068135,-0.03087,-1.03233472222
9.4,0.303898,-0.0794616666667,-0.909902777778
9.45,0.298753,-0.121193333333,-0.808431944444
9.5,0.2917215,-0.159495,-0.737926388889
9.55,0.2828035,-0.195795833333,-0.622163888889
9.6,0.271999,-0.2238075,-0.400643055556
9.65,0.2601655,-0.237241666667,-0.104329166667
9.7,0.247989,-0.2340975,0.182456944444
9.75,0.2364985,-0.217233333333,0.387304166667
9.8,0.2262085,-0.194366666667,0.544036111111
9.85,0.2169475,-0.1637825,0.708866666667
9.9,0.209573,-0.121479166667,0.756505555555
9.95,0.204771,-0.0834633333333,0.625022222222
10,0.202027,-0.06174,0.488775
